waypoint1	waypoint2	distance_m	duration_s
Green Leaf Brewing , North Vancouver, British Columbia  	Sailor Hagar's , North Vancouver, British Columbia	0	0
Steamworks Brewing Co. , Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
Main Street Brewing Co. , Vancouver, British Columbia    	Black Kettle Brewing Co. , North Vancouver, British Columbia  	11473	2271
Storm Brewing Co. , Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	0	0
Dockside Brewing Co. , Vancouver, British Columbia    	Red Truck Beer Company , North Vancouver, British Columbia    	10987	2786
Green Leaf Brewing , North Vancouver, British Columbia  	33 Acres Brewing Co. , Vancouver, British Columbia   	10987	2786
Big Rock Brewing , Vancouver, British Columbia    	Postmark Brewing Co. , Vancouver, British Columbia    	0	0
Dockside Brewing Co. , Vancouver, British Columbia    	Strange Fellows Brewing Co. , Vancouver, British Columbia    	0	0
Postmark Brewing Co. , Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	14669	4132
Bridge Brewing Co. , North Vancouver BC    	Bomber Brewing , East Vancouver, British Columbia    	14669	4132
Dockside Brewing Co. , Vancouver, British Columbia    	Big Rock Brewing , Vancouver, British Columbia    	0	0
Dockside Brewing Co. , Vancouver, British Columbia    	Powell Street Brewery , East Vancouver, British Columbia    	9136	2384
33 Acres Brewing Co. , Vancouver, British Columbia   	Main Street Brewing Co. , Vancouver, British Columbia    	0	0
Hearthstone Brewing , North Vancouver, British Columbia    	Powell Street Brewery , East Vancouver, British Columbia    	14272	3506
